epoch,train_loss,val_loss,val_mae_hz
0,0.13790785027451294,0.0819878416756789,0.3652822351981826
1,0.10364346058909284,0.13619566708803177,0.4492479044599809
2,0.0893065664310788,0.09524712711572647,0.37102047445334496
3,0.09631355817234794,0.08778151621421178,0.35700315520428855
4,0.08371653739189686,0.08195971325039864,0.34178683697462686
5,0.08203461237771567,0.06063461552063624,0.32614581258684683
6,0.08184095550068589,0.06444178521633148,0.3381821117633574
7,0.0821609822816627,0.05766881505648295,0.31515551334553954
8,0.07929486343853695,0.09771981587012608,0.3634221861566562
9,0.07622245894095232,0.055534270902474724,0.31247677594609624
10,0.07888551749462305,0.0576786162952582,0.3066975144257074
11,0.07587195339417735,0.0766226015985012,0.3463818292253001
12,0.07225288654309373,0.08936467270056407,0.35309010844476746
13,0.07367352617168149,0.05356192837158839,0.30760694319731857
14,0.07112736986993357,0.09104481836160024,0.36063941741302374
15,0.07350105891913869,0.10173222919305165,0.3768128568501629
16,0.06970477073864881,0.08594894409179688,0.3460130865417342
17,0.06524569168686867,0.06668813402454059,0.3192968072448024
18,0.06637458018092222,0.08401854584614436,0.3351392653678764
19,0.06405375741941985,0.10410490880409877,0.36979153356469907
20,0.06396806824865729,0.11221855630477269,0.37598341130830426
21,0.06042303071292334,0.060096063961585365,0.30627046021013526
22,0.0651530348804108,0.07109301909804344,0.3216594841127132
23,0.058030258430991064,0.128353180984656,0.39221447841915863
24,0.061640184112759525,0.13519922147194544,0.4240597006244992
25,0.05739267941477687,0.091616440564394,0.354212001491479
26,0.05582594958155654,0.10134399185578029,0.36567524052674527
27,0.0595417067321927,0.09758981068929036,0.3563536639338799
28,0.05513161637408789,0.09597160170475642,0.3605296711307205
